name,cost,type,rules,flavor,metatype,name 2,cost2,type2,rules2
Repose of Phantoms,1RG,Instant,"
Choose one: search your library for a Mountain card and put it into hand, then shuffle your library; or add GGRR to your mana pool

Spellmorph RG",,,,,,
Forsaken Elf,GW,Artifact Creature - Kithkin Soldier (1/3),"Reach
1GW, T: you may return a enchantment cards from your graveyard to hand
W: up to one target enchantment is an artifact in addition to their other types until end of turn",,,,,,
Conjuring of the Stars,WW,Instant,"
regenerate any number of target creatures

Spellmorph 1WW","--Her forest pauses a single linen but glows faster than the fastest map
Whilst universe understands stronger than the best ghost
– Bozo, the white knight",,,,,
Runic Flare,1U,Instant,"
the next time a green creature would deal combat damage to a player this turn, instead counter target spell

Spellmorph 1U",,,,,,
Adversary of Ssnake Avatar,2GGGG,Creature - Snake Druid (3/3),"
Trample
Attacking creatures you control get +2/+2
All other Snakes can't be the target of activated abilities","--Her quiet burns more effectively than the confused glove
– Anonymous (uncomfirmed)",,,,,
Demonic Strike,1R,Instant,"
~this~ deals 2 damage to target creature or player

Spellmorph 1R",,,,,,
Burning Terminal,,Land,"
T: add 2 to your mana pool use this only to cast Beast spells
1, T: add 1 mana of any color to your mana pool",,,,,,
Vengeful Prophet,2UBR,Creature - Vampire (2/2),"
Flying
3UBR: target opponent gets 1 poison counter
deathtouch",,,,,,
Unholy Flare,2R,Sorcery,"
Buyback 1R
untap target Creature and gain control of it until end of turn.","--Nature delights more insidiously than the police ever could
– Noocoa Loch, Priest of the Ocean",,,,,
Ill-Gotten Prophet,UR,Creature - Vampire (1/2),Flying colourless creature spells cost all players an additional ''Sacrifice a creature'' to cast,,,,,,
Increased Blessing of Terror,2WW,Enchantment,"Creatures you conrol can block an additional creature

Creatures you control get +0/+2

1GG: Target creature gains reach until end of turn.",,,,,,
Sunfire Rush,WUBRG,Instant,"
return three target lands to its owner's hand","--The quicksand made of winter walls off even the whispered cable and proves better than the hugest camp
– Freyalise, the true clown",,,,,
Familiars Legion,GG,Creature - Elf Warrior (2/2),"
RG: target white enchantment is the colour of your choice until end of turn and two other target red creatures get +1/+1 until end of turn
Whenever a flying creature attacks, target opponent may pay 2. If that player doesn't, you gain 2 life","--Her pocket burns bigger than even the bravest turkey could
– Jaya Ballard",,,,,
Vengeful Warrior,2B,Creature - Zombie (3/1),"
When the number of card types among permanents an opponent controls (The card types are artifact, creature, enchantment, instant, land, planeswalker, sorcery and tribal) is 3 or more, flip ~this~.
","--Nature endures a single pig and surprises even the grandest answer
Albeit his wool fights faster than the best spoon shall
– Foucault of Innistrad",kami,Envoy of the Aspect,,Legendary Creature - Zombie (3/5),"Whenever a creature regenerates, each player loses 4 life
B: you reveal cards from the top of your library until you reveal a creature card, put that card into hand, and exile the rest."
Crux of Prime Fog,1G,Enchantment,"
All creatures can't be the target of activated abilities and gain reach
Convoke
Spellmorph 1G",,,,,,
Jar of Healing,2BB,Artifact - Equipment,"Equip 3
Equipped creature gets +2/+5","--Her stew endures even one swing yet cheats faster than the best light
Yet humanity glows more insidiously than the wisest trail
– Titania",,,,,
Triumphant Ghast,GGG,Creature - Human Druid (1/1),"
All other creatures gain shroud

Morph 1G",,,,,,
Shimmering Golem,1(B/G)(B/G)(B/G),Creature - Dragon (1/2),"
~this~ enters the battlefield with four +1/+1 counters on it
Remove a +1/+1 counter from ~this~: ~this~ gains flying until end of turn
Whenever ~this~ deals combat damage, target Dragon gets +1/+0 until end of turn","-- When sleepy, The best balloon folds more destructively than even the most beautiful cub
– Jak of Mirrodin",,,,,
Steady Orc,2,Artifact Creature - Beast (2/1),"
All artifacts gain ''RRR, sacrifice ~this~: ~this~ deals 2 damage to target creature or destroy target land or copy target spell or ability and you may choose new targets for the copy''",,,,,,
Missing Advokist,1B,Creature - Gorgon Wizard (1/2),"
All creatures gain ''Tap an untapped permanent you control: destroy a creatures''","--Nature dares more swiftly than the wisest yard
Yet her jungle can defeat the fastest plan
– Rooflofeask Isplilia Swiftheart",,,,,
Angelic Minotaur,4W,Creature - Spirit (4/4),"
All Islands are white
All enchantments gain ''4WB, Discard a card: you may return a card from your graveyard to the battlefield''","--Nature enlightens the most aspirational hall
– Kuri, the elder",,,,,
Frost Fingers,2R,Instant,"
untap target unblocked Dragon and gain control of it until end of turn.

Spellmorph R","--Humanity judges better than the cobweb shall
For universe begs more effectively than the best gate
– Slashdot (?)",,,,,
Transform,4RRR,Instant,"
~this~ deals 1 damage to each of two target creatures

Spellmorph R",,,,,,
Blast of Light,2BB,Sorcery,"
destroy target creature

Spellmorph 4","-- When sleepy, Her rake damages more effectively than the most awesome beam could
– Elet, Priest of the Ancient Castle",,,,,
Awaken the Advokist,UU,Creature - Human Wizard (1/1),"
1U: return a land you control and a land a opponent controls to their owner's hand",,,,,,
Vengeful Familiar,3B,Creature - Vampire (2/1),"
Flying
When ~this~ leaves the battlefield, gain control of target permanent until end of turn
4: you may return two enchantment cards from your graveyard to the battlefield",,,,,,
Starving Angel,1G,Creature - Elf Shaman (2/3),"
Split second

Reach","--The proper breakfast gazes more impressively than the hugest shoe ever never
– Bozo (not the Urza's Saga one)",,,,,
Surge of Magic,1W,Instant,"
target player gains 1 life for each creature on the battlefield

Spellmorph 2W","--His hill harasses louder than the best step
– Alex of Rabiah",,,,,
Compelling Cloudrider,R,Creature - Beast (1/2),"
When ~this~ is put into a graveyard from the battlefield, destroy target land",,,,,,
Mystic Shower,BRG,Sorcery,"
all enchantments gain protection from white until end of turn and untap those permanents and gain control of them until end of turn. They gain haste until end of turn.
Madness WUBRG",,,,,,
Frost Hail,BRG,Sorcery,"
~this~ deals 2 damage to target player and 2 damage to target creature

Spellmorph BRG",,,,,,
Barrier of Exhaustion,1UUU,Instant - Arcane,"
exchange control of target permanent you control and target permanent of the same type target opponent controls

Spellmorph 3U",,,,,,
Formidable Disciple,UB,Creature - Merfolk Wizard (3/1),"
UB: put a +1/+1 counter on ~this~
Sacrifice a artifact creature, remove a +1/+1 counter from ~this~: attach target Aura to target creature. Gain control of that Aura until end of turn",,,,,,
Kneeling Eminence,RG,Creature - Beast (1/2),"
T: put two -1/-1 counters on two target artifact creatures and you gain 1 life
When ~this~ enters the battlefield, ~this~ deals 1 damage to target creature
1, Tap an untapped creature you control: ~this~ deals 1 damage to target attacking or blocking creature","--Nature rallies a single birthday yet guesses stronger than even the most skilled prayer
– Leshrac IV",,,,,
Devout Poltergeist,1B,Creature - Spirit (3/2),"
enchantment spells cost 2 less to cast","--Even the butter envies just one fifth
Although even the greatest girl confuses more profoundly than the most awesome breakfast
– Poochi, Swift Guardian",,,,,
Skeleton Refuge,,Legendary Land,"
1,T: add 2 mana of any color to your mana pool
T: target artifact creature gets -4/-4 until end of turn",,,,,,
Decay of Blessings,2GG,Instant,"
target green creature gets +3/+4 until end of turn

Spellmorph 1G",,,,,,
Virtue of Doom,1G,Instant,"
up to three target lands are colourless until end of turn and untap those permanents

Spellmorph G","--The hugest jam endures
– hyperpuppy64 of Phyrexia",,,,,
Judgement of Seals,3W,Instant,"
tap any number of target legendary permanents

Spellmorph 3G",,,,,,
Adversary of Muscles,2UU,Creature - Bird Wizard (3/1),"
Flying
At the beginning of each player's precombat main phase, target land you control is a swamp in addition to it's other types","--The daughter can kill even the confused kitten made of solid
– Unattributed",,,,,
Solidify,2,Sorcery,"
Choose one: attach target Equipment to target green creature. Gain control of that Equipment until end of turn; or destroy target artifact

Spellmorph 2",,,,,,
Phallic Sphinx,WW,Creature - Human Cleric (1/1),"
At the beginning of each opponent's upkeep, that player may Sacrifice a creature. If that player doesn't, tap target blue creature",,,,,,
Hell's War Priest,BRG,Creature - Beast (3/3),"
When ~this~ enters the battlefield, destroy target artifact","--Even one icicle embiggens the day
– Teesheath, Breeze Monk",,,,,
Apocalypse Bringer,1BBB,Artifact Creature - Myr (2/2),"
All Myr are Mountain lands in addition to their other types","--Even the beautiful beginner made of iron may rally
– Tigum Openfoot",,,,,
Supreme Eidolon,3UU,Creature - Faerie Rogue (2/3),"
Flying
Whenever ~this~ regenerates, you put a 4/4 blue Bird creature token with flying onto the battlefield for each basic land type among lands you control
When ~this~ leaves the battlefield, put a 3/3 white Bird creature token with flying onto the battlefield","--Her book surprises even the most skilled camp
– Ale the Keen",,,,,
Finding (the) Mage,RG,Creature - Beast (2/2),"
When ~this~ enters the battlefield, target opponent may Sacrifice a untapped land. If that player doesn't, draw a card",,,,,,
Ogre Griffin,WU,Creature - Bird Rogue (2/2),"
Flying
Sacrifice ~this~: put a 1/1 blue Faerie creature token with flying onto the battlefield
Sacrifice ~this~: put a 1/1 blue Merfolk creature token with first strike onto the battlefield
Sacrifice a Merfolk: draw a card",,,,,,
Triumphant Smuggler,4GW,Artifact Creature - Myr (6/7),"
instant and sorcery spells with converted mana cost 4 or more cost your opponents 1 more to cast
G, Pay 2 life: target Golem becomes the creature type of your choice until end of turn",,,,,,
Avenging Avatar,2G,Creature - Elf Druid (3/4),"Reach

All permanents an opponent controls are red",,,,,,
Throbbing Guardian,G,Creature - Beast (1/1),"
~this~ enters the battlefield with a +1/+1 counter on it
Remove a +1/+1 counter from ~this~: search yout library for a basic land cards and put it into your hand. shuffles your library.",,,,,,
Putrid Decay,2,Legendary Creature - Gorgon (1/3),"
B: regenerate all creatures with haunt
When ~this~ leaves the battlefield, any number of target creatures gain fear until end of turn",,,,,,
Statuette of Ice,3U,Artifact - Equipment,"
Equip 1U

Imprint: When ~this~ enters the battlefield, exile target nontoken nonland permanent. (The exiled card is imprinted on this artifact.)

Permanents that share a type with the imprinted card are Artifact Golems in addition to their other types.

Equipped creature gets +2/+2",,,,,,
Stable Griffin,1U,Creature - Bird Rogue (1/2),"
Flying
All Wizards get -1/-0","--Humanity proves better than the greatest apple
– Unattributed",,,,,
Primeval Behemoth,2W,Creature - Cat (2/3),"
Threshold - If you have seven or more cards in your graveyard, Arcane spells cost you cast cost 2 less to cast
All creatures gain flying","--Nature walls off even the best mice and cheats stronger than the fiercest yard
– Unknown (not the Urza's Saga one)",,,,,
